tsne-2d-one,tsne-2d-two,CustomerStatus
22.693836,11.277679,0
-20.683702,-21.384886,3
29.949284,0.8274172,3
32.676895,-8.152956,0
-22.635834,16.2634,1
23.767817,23.158228,0
33.87984,-6.673782,0
-21.84085,-9.368895,0
4.1474814,-4.971896,0
2.934874,-27.55511,0
-25.982716,-18.199614,0
18.031395,-6.6664224,0
23.001642,2.6859684,0
-15.305249,-21.63245,0
-24.566778,-2.3863382,0
-30.747272,4.897752,0
9.672639,12.6657505,0
17.12087,5.9636645,1
-6.5394664,-28.222542,0
-4.6850295,-21.754408,0
-20.76319,5.1076307,0
22.8875,-13.634601,0
2.0329723,21.414232,0
5.5410604,4.7189507,0
-2.4348006,0.2192191,0
9.492169,22.960567,0
-28.05222,3.2468035,1
22.364626,22.431099,0
-21.012262,-18.034729,0
17.128168,23.809837,0
-33.868614,-5.160555,0
-10.716975,-13.495904,0
12.262524,2.4361064,1
34.487236,-7.7084045,0
-2.7533832,3.2834737,0
18.625185,-6.910783,0
36.0294,3.3731954,0
-26.911652,6.9937096,0
-34.39243,-6.2038326,0
12.626898,-6.6287775,0
40.743546,-1.2198871,0
-3.670671,16.033678,0
13.056959,-1.4518334,0
20.803526,-2.0593188,0
12.58923,5.6247325,0
1.790304,-27.278765,0
-0.5222473,-1.2755337,0
19.50079,24.470177,0
-30.913467,-0.028499892,0
-1.3752764,-19.848763,0
-2.7145617,3.1926188,0
16.005962,5.326843,0
18.759315,9.16837,0
11.955992,11.458935,0
-1.9510939,30.987621,0
15.4824295,18.062305,0
-10.945347,-3.2476518,0
-19.233397,17.577866,0
11.441298,21.92688,0
19.520668,-7.089014,0
-0.23697492,-1.3614178,0
4.871989,5.62443,0
-24.912905,-19.073553,0
36.17894,0.0716005,0
-21.159105,-22.897255,0
-12.244951,3.3665152,0
-35.026344,3.5773847,0
-19.333654,-17.127892,0
21.520136,21.484015,0
-24.936459,-7.3428006,0
-0.31327656,-28.778423,0
30.386595,-4.2358494,0
24.676443,-8.832053,0
-4.114322,4.476326,0
-0.17300715,28.351421,1
-31.472929,-15.65728,0
1.0016459,-4.6395054,0
0.27128497,-5.9226437,0
39.46715,2.858943,0
-20.819134,3.5858157,0
4.331707,8.091324,0
23.340002,15.431931,0
10.5715685,27.349167,0
9.7105465,7.669027,0
20.480648,-2.1632664,0
-31.000153,2.885173,0
13.590481,4.710193,0
-1.4020125,31.860922,0
12.304274,26.30349,0
-12.153903,-25.018757,0
-13.984841,5.3424525,0
-25.718145,-1.1610932,0
34.316433,0.7735409,0
-26.600437,4.281023,0
18.179178,1.5050217,0
25.96212,6.055971,0
15.678187,0.0029021439,0
-25.19592,-8.438725,0
2.3873444,-1.4630347,0
6.145108,20.392479,0
20.960733,4.5926914,0
-15.690358,8.56033,0
19.138287,-5.474879,0
-4.450399,-2.9066236,0
-27.27133,3.226545,1
-31.294899,-4.274818,0
-6.2240915,-6.1432004,0
14.455376,21.364555,0
6.1339173,22.989729,0
4.069856,-4.7939825,0
29.260296,-6.1343794,0
-8.067344,-25.62672,0
-21.2681,-8.080327,0
-32.338257,3.1051219,0
0.69977903,-28.032782,0
2.0707364,21.455872,0
37.970127,-6.777051,0
3.1794233,23.591757,0
-21.599169,11.221823,0
-23.643421,-5.5230584,0
-18.036453,-24.074085,0
26.437838,-2.7831972,0
16.929338,-12.505056,0
-15.425456,6.075336,0
23.695112,7.142328,0
39.09778,-8.001691,0
-15.1371155,-2.147608,0
4.690964,27.12859,0
-11.471465,18.66937,0
11.767372,24.634432,0
39.29639,-2.356958,0
28.221949,-5.31999,0
-13.526113,-0.043251358,0
5.32337,18.688505,0
21.876602,6.5006037,0
-5.0027404,-29.55983,0
-28.514782,-14.849456,1
-21.64116,-15.118128,0
-29.936459,-16.138783,0
-7.3691874,18.399807,0
-9.608697,16.891914,0
-8.743722,-1.6173168,0
-19.918322,-22.451359,0
4.5260034,9.305001,0
-27.681427,-9.769293,0
-4.0281024,-29.985662,0
-2.1122708,32.889297,0
8.807025,28.369074,0
18.655024,17.722528,0
-11.4216795,-14.011002,0
-5.4084997,-25.684978,0
8.781865,33.04604,0
-14.214556,-22.906422,1
0.66739315,8.59626,0
